Denominazione,Indirizzo,CAP,Comune,Provincia,Regione,Codice_univoco,Partita_IVA
TRASTEVERE DI LUCIANA FRANCONE & C. SNC,"Viale Trastevere, 80/f",00153,Roma,Roma (RM),Lazio,F/9171,09161691002
FRATELLI MARCHETTI SNC,"Piazza dei Mirti, 1",00172,Roma,Roma (RM),Lazio,F/9291,04356811002
GALASSI SAS,"Via Ardeatina, 170",00042,Anzio,Roma (RM),Lazio,F/10002,11495021005
GALENO DI PASQUALE CATALANO SNC,"Via Cogoleto, 100/102",00168,Roma,Roma (RM),Lazio,F/9745,09157191009
GALEPPI VITO,"Via Acaia, 49",00183,Roma,Roma (RM),Lazio,F/9403,00423850585
GALIMI WALTER,"Via Val di Cogne, 4",00141,Roma,Roma (RM),Lazio,F/9189,08138190585
GALLO SILVIA,"Piazza Castrolibero, 18 (Ang.Via Rocca Imperiale)",00040,Roma,Roma (RM),Lazio,F/9402,07264751004
APPIO D.SSA BARBARA GAONI,"Via Appio Claudio, 306",00174,Roma,Roma (RM),Lazio,F/9393,06283221007
GAONI DI PAOLO E ROBERTA GAONI SNC,"Viale Medaglie D'Oro, 417",00136,Roma,Roma (RM),Lazio,F/9768,04676731005
GAONI RAFFAELLA,"Via Tommaso da Celano, 27/c",00179,Roma,Roma (RM),Lazio,F/9506,12661241005
GARSIA EDDA,"Via Tibero Imperatore, 53",00145,Roma,Roma (RM),Lazio,F/9430,01414110583
CICERONE PIETRO,"Via Ostiense, 53",00154,Roma,Roma (RM),Lazio,F/9524,13945781006
GIDIUCCI MARISA,"Via IV Novembre, 8",00010,Monteflavio,Roma (RM),Lazio,F/9899,00322811001
GIMIGLIANO ANNA,"Via Giacomo Biga, 10",00154,Roma,Roma (RM),Lazio,F/9456,07761331003
GIORDANI PIERMARINO,"Piazza Farnese, 42",00186,Roma,Roma (RM),Lazio,F/9235,09885280587
GIORGI GIANFRANCO,"Via Massa di S. Giuliano, 260",00010,Roma,Roma (RM),Lazio,F/9329,00349401000
GIOVANNOLA FABRIZIO,Via Campolimpido di Tivoli,00019,Tivoli,Roma (RM),Lazio,F/9927,04873791000
GIROTTI FILIPPO,"Via Alessandria, 101",00198,Roma,Roma (RM),Lazio,F/9245,10124950584
TOMA DELLA DR.SSA GRAZIOSI ALESSANDRA,"Via delle Baleniere, 139",00121,Roma,Roma (RM),Lazio,F/9658,06427251001
CERNUSCO GIULIANA,"Via Buonarroti, 42",00053,Civitavecchia,Roma (RM),Lazio,F/9822,04127941005
CHIMENTI BRUNO,"Via Migiurtina, 43/45",00199,Roma,Roma (RM),Lazio,F/9101,00949980585
CIANCI GIUSEPPE,"Via Polia, 12-14",00178,Roma,Roma (RM),Lazio,F/9334,07738870588
CIOTTI ALESSANDRA,"Piazza di Trevi, 89",00187,Roma,Roma (RM),Lazio,F/9100,09052501005
COCCI AMALIA MARIA VITTORIA,"Via Cassia, 1346/1348",00123,Roma,Roma (RM),Lazio,F/9700,05115770587
COLAPINTO SAS DR.SSA COLAPINTO FRANCESCA SOFIA,"Via Pietro Maffi, 74 A e B",00168,Roma,Roma (RM),Lazio,F/9682,09204301007
COLLI ALBANI,"Via Rocca Priora, 60",00179,Roma,Roma (RM),Lazio,F/9539,10887190584
PETITTO GIANLUIGI,"Via della Pisana, 370-Edificio E-Negozio A",00163,Roma,Roma (RM),Lazio,F/9596,05719880584
IPPOCRATE SRL - CALAMATTA,"Piazza Calamatta, 19",00053,Civitavecchia,Roma (RM),Lazio,F/9808,10648161007
Pisanti Adriano,"Piazza C. Battisti, 16",00037,Segni,Roma (RM),Lazio,F/9903,01461060622
DAGUI' SILVESTRO,"Via Giuseppe De Nava, 9",00139,Roma,Roma (RM),Lazio,F/9226,09667180583
D'ALESSANDRO SILVIA,"Via dei Malatesta, 5 a/b",00164,Roma,Roma (RM),Lazio,F/9645,10480660587
DAVANZO FRANCESCO,"Via Ponzio Cominio, 29/a - 29/b",00175,Roma,Roma (RM),Lazio,F/9358,09608940582
IPPOCRATE SNC DI FRANCESCO MARIA DE BELLA E C.,"Via D. Morichini, 24/26",00161,Roma,Roma (RM),Lazio,F/9108,12668721009
DE BERARDINIS MARIO,"Via Pescaglia, 29",00146,Roma,Roma (RM),Lazio,F/9619,09245800587
DE CESARIS EMILIA,"Via S. Giovanni Bosco, 91",00175,Roma,Roma (RM),Lazio,F/9366,09640880580
DE MARCHIS ALESSANDRO,"Corso Matteotti, 132",00041,Albano laziale,Roma (RM),Lazio,F/10021,04656471002
DE MICHELE SERGIO,"Piazza S. Giovanni, 37",00014,Guidonia montecelio,Roma (RM),Lazio,F/9906,08710440580
DELLE ROBINIE SAS DI DI GIACOMANTONIO FRANCO & C.,"Via delle Robinie, 81-81a",00172,Roma,Roma (RM),Lazio,F/9401,08423181000
LUIGI DEMICHELIS DAL 1934,"Via Ancona, 76",00055,Ladispoli,Roma (RM),Lazio,F/9793,13040531009
CENTRALE SAS DI SCHIAPPA ANTONIO & C.,"Via Garibaldi, 2",00028,Subiaco,Roma (RM),Lazio,F/9897,07908661007
DESSI,"Via Tuscolana, 991",00174,Roma,Roma (RM),Lazio,F/9384,10658660583
DI CECCO DELLA DR.SSA DI CECCO GIUSTINIANA & C. SAS,"Via S. Maria, 1",00029,Vicovaro,Roma (RM),Lazio,F/9864,06951681003
PONZI ENNIO SAS,"Piazza Massa Carrara, 9",00162,Roma,Roma (RM),Lazio,F/9135,10182371004
PONZI ENNIO SAS,"Via di Torrenova, 155/d",00133,Roma,Roma (RM),Lazio,F/9347,10182371004
ENNIO PONZI SAS,"Via Tor Vergata, 67",00133,Roma,Roma (RM),Lazio,F/9364,10182371004
Ennio Ponzi Sas,"Piazza M. Mastrofini, 25",00040,Montecompatri,Roma (RM),Lazio,F/9957,10182371004
MARSALA FRANCESCO & C. SAS,"Piazza Montecastrilli, 13",00181,Roma,Roma (RM),Lazio,F/9531,10476710586
DI PALMA SAS,"Via Mozart, 59",00159,Roma,Roma (RM),Lazio,F/9323,13564831009
DI SALVIA DEL DR. DI SALVIA MICHELE E .C SAS,"Via Augusto Dulceri, 19",00176,Roma,Roma (RM),Lazio,F/9547,11172931005
PELAGALLI GAETANO,"Via dei Pioppi, 5/c",00172,Roma,Roma (RM),Lazio,F/9322,04001430588
PERCIBALLI PAOLO,"Via Silvio d'Amico, 15/17",00145,Roma,Roma (RM),Lazio,F/9431,09068251001
PERLINI MARINA SAS,"Via del Pianeta Giove, 68",00144,Roma,Roma (RM),Lazio,F/9522,12134011001
FARMACRIMI AXA,"Via Giuseppe Cei, 45",00177,Roma,Roma (RM),Lazio,F/9473,08690670586
PERUZZI PAOLA,"Circonvallazione Ostiense, 218",00154,Roma,Roma (RM),Lazio,F/9538,10826510587
PETRILLI ANNA RITA,"Piazza Nazionale, 15",00010,Moricone,Roma (RM),Lazio,F/9890,00639331008
PICCIOLO MARIA,"Via Rossini, 12 A/C",00041,Albano laziale,Roma (RM),Lazio,F/10048,00407660836
PICCIONI TITO,"Via Val Sassina, 36",00141,Roma,Roma (RM),Lazio,F/9122,09250861003
PIRAM ALBERTO,"Via Nazionale, 228",00184,Roma,Roma (RM),Lazio,F/9087,09709071006
SAN GASPARE DR.SSA BONO TERESA,"Corso Umberto I, 14",00020,Jenne,Roma (RM),Lazio,F/9946,01652050590
PONTE MAMMOLO SNC,"Via Casal De' Pazzi, 64",00156,Roma,Roma (RM),Lazio,F/9375,05371151001
Farmacia Laura Rossetti 2,"Via Regina Elena, 31 A-b",00010,Marcellina,Roma (RM),Lazio,F/9872,14414421009
POTESTIO PIERGIORGIO,"Via Tuscolana, 855/d",00174,Roma,Roma (RM),Lazio,F/9362,07685331006
PROIETTI GABRIELLA,"Corso Guglielmo Marconi, 6",00010,Casape,Roma (RM),Lazio,F/9919,09109180589
PULIGNANO GIOVANNA,"Via Costa Sole, 22",00020,Cerreto laziale,Roma (RM),Lazio,F/9929,05338841009
COMUNALE N.2 ALBANO,"Via Olivella, 7-9-11",00041,Albano laziale,Roma (RM),Lazio,F/10047,07156011004
ALBALONGA SPA - FARMACIA 1,"Via A. De Gasperi, 52",00041,Albano laziale,Roma (RM),Lazio,F/9958,00079660841
DELLE PALME DI CASCIANINI COSETTA,"Via delle Palme, 5/E",00062,Bracciano,Roma (RM),Lazio,F/9832,12407561005
Comunale Crocifisso,Via Crocifisso,00072,Ariccia,Roma (RM),Lazio,F/10046,01125551000
COMUNALE FIANO ROMANO,"Piazzale Cairoli, 1",00065,Fiano romano,Roma (RM),Lazio,F/9790,00997991005
PA.GA. SNC DEI DOTTORI PACE NINI' MIRELLA E TERRANA GIUSEPPE,"Via Quattrucci, 15-17",00046,Grottaferrata,Roma (RM),Lazio,F/16968,02573020845
D'APOLITO DR.SSA GIUSEPPINA,"Via Roma, 23",00040,Rocca di papa,Roma (RM),Lazio,F/9986,12504531000
Comunale Ariccia L.spolverini,"Viale Delle Cerquette, 25",00072,Ariccia,Roma (RM),Lazio,F/9995,02850270584
COMUNALE TOLFA,"Via Roma, 69",00059,Tolfa,Roma (RM),Lazio,F/9791,02144561004
CONTI MAURIZIO & GIANMARCO SNC,"Via Prenestina, 144/A",00176,Roma,Roma (RM),Lazio,F/9454,08759731006
IL FARO SAS DEI DR. GRAZIELLA CORSI E ANDREA BALDINI,"Via Labat, 5",00053,Civitavecchia,Roma (RM),Lazio,F/9835,12918641007
ROMA EST SAS DI ALICE BALESTRIE & C.,"Via Torrenova, 212 (ang. Via Teseo 1)",00133,Roma,Roma (RM),Lazio,F/9315,09088881009
IURLO RITA,"Via A. Cabrini, 32",00139,Roma,Roma (RM),Lazio,F/9212,09323110586
FARMACIA VIII COLLE DELLA D.SSA ANTONELLA IZZO,"Via P. di Dono, 35",00143,Roma,Roma (RM),Lazio,F/9436,12458911000
IZZO SILVIA,"Viale Vicopisano, 62",00146,Roma,Roma (RM),Lazio,F/9608,08068060584
JUCCI MARIA CLOTILDE,"Piazza dei Cinquecento, 49-ang.Via Cavour, 2",00184,Roma,Roma (RM),Lazio,F/9187,08042670581
LA DONNA ANGELA,"Via Morozzo della Rocca, 34",00159,Roma,Roma (RM),Lazio,F/9501,09671210582
LA.LI.FAR. DI LAUCIANI LILIA,"Via Angelo Emo, 18",00136,Roma,Roma (RM),Lazio,F/9780,13608451004
LAURENZI PIERSETTIMIO,"Via S. Pellegrino, 4/a",00067,Morlupo,Roma (RM),Lazio,F/9798,07558031006
EUROPA DI TIMPANO UGO & C. SNC,"Via Aldo Moro, 19",00048,Nettuno,Roma (RM),Lazio,F/10055,09511801004
LENZI MICHELE,"Corso Trieste, 78",00198,Roma,Roma (RM),Lazio,F/9232,09858850580
LEONE ALESSANDRO,"LARGO PORTA CAVALLEGGERI, 3",00165,Roma,Roma (RM),Lazio,F/9784,04715260586
LICARI FRANCESCA,"Via Federico Ozanam, 57/a",00152,Roma,Roma (RM),Lazio,F/9650,10655630589
SAN PIETRO SNC DEI DOTT.RI MARIA LETIZIA E NICOLA MARINI,"Piazza S. Pietro, 2",00044,Frascati,Roma (RM),Lazio,F/9962,09530881003
LIPPI TULLIA,"Via Arenula, 73",00186,Roma,Roma (RM),Lazio,F/9160,05614330586
LO GIUDICE GIUSEPPE,"Viale Eritrea, 32 a",00199,Roma,Roma (RM),Lazio,F/9193,08595080584
LOIACONO ANNA,"Via Fosso dell'Osa, 338",00132,Roma,Roma (RM),Lazio,F/9444,03628200580
LOLLI GHETTI DOTT. MASSIMO,"Via dei Platani, 142",00172,Roma,Roma (RM),Lazio,F/9295,13704751000
LOMBARDI MAURIZIO,"Via Prenestina, 423",00177,Roma,Roma (RM),Lazio,F/9448,04798330587
PANATTA ROBERTO,"Piazza delle Ville, 33",00022,Anticoli corrado,Roma (RM),Lazio,F/9860,13050281008
LUCIDI SILVIA,"Via Q. Sella, 28",00187,Roma,Roma (RM),Lazio,F/9207,01444360588
LUZI SNC,"Via F. Corridoni, 47",00030,San cesareo,Roma (RM),Lazio,F/9851,00417291002
MACALUSO PIETRO,"Via delle Rondini, 64",00169,Roma,Roma (RM),Lazio,F/9336,03754821001
ISTRIA,"Piazza Istria, 8",00198,Roma,Roma (RM),Lazio,F/9151,11211951006
MALATESTA CLAUDIO,"Piazza Accademia Antiquaria, 1/2",00147,Roma,Roma (RM),Lazio,F/9458,06871950587
EREDI MANCINI DI LORENZO MANCINI,"Viale XXI Aprile, 31",00162,Roma,Roma (RM),Lazio,F/9115,13104841005
MARCHESE MARIO GIUSTINO,"Via G. Marconi, 174 - 174/A",00146,Roma,Roma (RM),Lazio,F/9642,08767930582
Marchetti Andrea,"Via Marco Papio, 41",00175,Roma,Roma (RM),Lazio,F/9281,11248461008
MARCHETTI LUISA,"Via Simone Saint Bon, 91",00195,Roma,Roma (RM),Lazio,F/9712,06749270580
MARINI DOTT. LUCA,"Via Tor de Schiavi, 281",00171,Roma,Roma (RM),Lazio,F/9414,10465511003
MARINI MARIA RITA,"Via Corfinio, 1",00183,Roma,Roma (RM),Lazio,F/9450,05039790588
"MARINI SNC DR.COSTANZO,NICOLA,ML","Via Nettunense, 192",00040,Albano laziale,Roma (RM),Lazio,F/10023,04571781006
MARTELLI LUIGI ANTONIO,"Largo N. Cannella, 7",00128,Roma,Roma (RM),Lazio,F/9470,08549620584
FARMACIA ESCHILO S.N.C.,"Via Eschilo, 80/E",00125,Roma,Roma (RM),Lazio,F/19435,14169141000
"FARMACIA FEDERICO S.N.C. DEI DOTTORI RODOLFO, STEFANO E DANIELE FEDERICO","Via Prenestina, 686d-692-694",00155,Roma,Roma (RM),Lazio,F/19446,14027291005
FARMACIA FORTE BRAVETTA DELLE DOTT.SSE TICCA E MANGANIELLO S.N.C .,"Via di Bravetta, 768",00164,Roma,Roma (RM),Lazio,F/19448,14139381009
DISPENSARIO MIRI SEYED JAVAD,Via XXIV Maggio,00020,Camerata nuova,Roma (RM),Lazio,F/16421,01470350669
ASSC - AZIENDA SPECIALE SERVIZI COMUNI,"Via Casilina km. 50,300",00030,Colleferro,Roma (RM),Lazio,F/9868,08292611004
FARMACIA AVANZATI & PETITTO SNC,"Viale Gaetano Arturo Crocco, 21",00148,Roma,Roma (RM),Lazio,F/19421,14091131004
FARMACIA PARCO DELLE SABINE SNC,"Via Monte Giberto, 23",00138,Roma,Roma (RM),Lazio,F/19427,14099651003
BOSSO DANIELA,"Via Palombarese, 429/A-B-C",00013,Fonte nuova,Roma (RM),Lazio,F/18475,04519341210
SCIARRA SAS DEL DOTT. GIUSEPPE SCIARRA,"Via delle Viole, 16",00012,Guidonia montecelio,Roma (RM),Lazio,F/18494,08584811007
SCIARRA SAS,"Via Rosolina, 53",00010,Tivoli,Roma (RM),Lazio,F/9917,08584811007
COMUNALE DI ANGUILLARA SABAZIA,"Via Strada Vicinale dei Vignali, 28",00061,Anguillara sabazia,Roma (RM),Lazio,F/18899,02120471004
COMUNALE NUOVA FLORIDA,"Viale Nuova Flordia, 111",00040,Ardea,Roma (RM),Lazio,F/18273,02300511009
FALLETTA SERAFINA,"Via F. A. Gualterio, 50/c",00139,Roma,Roma (RM),Lazio,F/9131,03067530588
PARISI SNC DEI DOTTORI ALESSANDRO E SILVIA PARISI,"Viale Gorizia, 56/58",00198,Roma,Roma (RM),Lazio,F/9251,05626951007
COVIELLO MARIA CONCETTA,"Via Umberto I, 5",00060,Civitella san paolo,Roma (RM),Lazio,F/9839,06449801007
SOFIA ANGELA ANTONIA,"Largo Bargellini, 35",00142,Roma,Roma (RM),Lazio,F/9178,07433910580
GEMELLI DRSSA RICCIARDI ADRIAN,"Largo A. Gemelli, 11",00168,Roma,Roma (RM),Lazio,F/9753,10234680584
ETRURIA DEL DOTT. REDINI MICHELE,"Via Britannia, 2/4/6",00183,Roma,Roma (RM),Lazio,F/9529,08443161008
SCAVOLINI SAS DI DEL BIAGIO PIO,"Viale Roma, 86",00012,Guidonia montecelio,Roma (RM),Lazio,F/9846,09230761000
GIANNANGELI DR. MATTEO,"Piazza Benedetto Cairoli, 5",00186,Roma,Roma (RM),Lazio,F/9132,11164651009
VIGNA CLARA DR.SSE BIANCA MARIA E GIACINTA MANUELA BULLIO SNC,"Largo Vigna Stelluti, 34/35/36",00191,Roma,Roma (RM),Lazio,F/9673,09051551001
RIZZO DELLE DR.SSE RIZZO DONATELLA E DANIELA SNC,"Via Monti della Valchetta, 74-76-76/A-76/B",00188,Roma,Roma (RM),Lazio,F/9729,09321321003
Farmacia Passalacqua S.a.s.,"Via Ugo Ojetti, 412/a",00137,Roma,Roma (RM),Lazio,F/9186,10514281004
FIRRIOLO SAS DEL DR. ANTONINO FIRRIOLO & C.,"Via Anguillarese, 123",00061,Anguillara sabazia,Roma (RM),Lazio,F/9831,11176021001
7CAMINI DOTT. ALBERTO & VALERIO CAMERUCCI SAS,"Via Casal Bianco, 147 ang. Via Settecamini",00131,Roma,Roma (RM),Lazio,F/9285,11907951005
ANDRICOPULU DR.SSA KLIO,"Via del Pigneto, 108 e/f",00176,Roma,Roma (RM),Lazio,F/9442,13125271000
RISORGIMENTO SNC DEL DOTT. GIANCARLO BRIENZA & C.,"Via G. Carini, 42",00153,Roma,Roma (RM),Lazio,F/9586,13125741002
RISORGIMENTO SNC DEL DOTT. GIANCARLO BRIENZA & C.,"Piazza Risorgimento, 44/45",00192,Roma,Roma (RM),Lazio,F/9714,13125741002
CALVANI SNC DI CASELLI SERGIO E CIAMBELLINI MAURIZIO,"Via Radicofani, 206/a (B.ta Fidene)",00138,Roma,Roma (RM),Lazio,F/9110,09575261004
CUTTANO ANNA MARIA,"Piazza Crati, 27",00199,Roma,Roma (RM),Lazio,F/9227,09669880586
RAMUNDO MONTARSOLO UMBERTO,"Via Tiburtina, 437",00159,Roma,Roma (RM),Lazio,F/9391,10884760587
Farmacia Giannini Snc Di Francesco E Gianluca Giannini,"Via Casilina Km 23,400",00040,Montecompatri,Roma (RM),Lazio,F/9984,14111911005
TOMASELLI FRANCO,"Viale Beata Vergine del Carmelo, 73",00144,Roma,Roma (RM),Lazio,F/9453,05665110580
ELMO VITTORIA,"Via della Marranella, 41",00176,Roma,Roma (RM),Lazio,F/9559,07153361006
ONOFRI DANIELA,"Via di Valle Muricana, 369",00188,Roma,Roma (RM),Lazio,F/9715,07345350586
RIPETTA DR. CAMPONESCHI CLAUDIO,"Via Ripetta, 254-255",00186,Roma,Roma (RM),Lazio,F/9179,07404500584
ALICICCO DEI DR.I M. ALICICCO E M. PANATTONI SNC,"Via Tibullo, 4",00193,Roma,Roma (RM),Lazio,F/9756,07558731001
BARRILE CONCETTA,"Piazza del Mercato, 15",00020,Vallinfreda,Roma (RM),Lazio,F/16981,07559821009
MANGLAVITI MARIA PIA,"Via Elio Chianesi, 134",00128,Roma,Roma (RM),Lazio,F/9452,07685321007
GIULIO CESARE,"Viale Giulio Cesare, 209/211",00192,Roma,Roma (RM),Lazio,F/9674,07948261008
COLLATINA NUOVA SNC DI DANIELA CRESCENZI-LUCETTA FRANCIONE,"Via Collatina, 29/A",00177,Roma,Roma (RM),Lazio,F/9477,10249791004
CALUORI SNC DI LUCIA E CARLA CALUORI,"Piazzale Provincie, 8/a",00162,Roma,Roma (RM),Lazio,F/9168,05908751000
SANTA RITA DELLA DR.SSA MIGLIORINO RITA & C. SAS,"Via Val Maira, 11/13/15",00141,Roma,Roma (RM),Lazio,F/9267,06613421004
FETTARAPPA MARINA,"Via P. De Calboli, 12",00195,Roma,Roma (RM),Lazio,F/9718,08069020587
IURLO MARIO & C. SNC,"Via Isola Farnese, 4",00123,Roma,Roma (RM),Lazio,F/9757,04560911002
EREDI DR.SCOPIGNO ALDO SNC,"Largo Russell, 11",00156,Roma,Roma (RM),Lazio,F/9370,04656331008
TORLONIA SNC DEI DR.I LUCILLA PALMESANO E VINCENZO IENNACO,"Via Alessandro Torlonia, 1/b",00161,Roma,Roma (RM),Lazio,F/9265,05250131215
DI NARDO STEFANO,"Viale Colli Portuensi, 30/32",00151,Roma,Roma (RM),Lazio,F/9663,06818291004
Farmacia San Benedetto S.a.s. Del Dott. Vittorio Borrelli,"Via Giovanni Xxiii, 31",00030,Roiate,Roma (RM),Lazio,F/9876,11903391008
COMUNALE MORLUPO,Piazza Narducci,00067,Morlupo,Roma (RM),Lazio,F/18442,10367311007
COLAPINTO ISABELLA,"Piazza Capecelatro, 7",00168,Roma,Roma (RM),Lazio,F/9680,11220531005
DI SALVO ANTONELLA,"Viale dei Quattro Venti, 160 A",00152,Roma,Roma (RM),Lazio,F/9595,12008631009
DIVINA PROVVIDENZA DEL DR. LIMONE BRACCO ANDREA SAS,"Via Vezio Crisafulli, 2/8",00166,Roma,Roma (RM),Lazio,F/9138,13411191003
FARMACIA AMELI S.A.S.,"Via Nettunense, 165",00047,Marino,Roma (RM),Lazio,F/9981,13787361008
"Farmacia Torresina Dei Dottori Russo Giuseppe,De Angelis Lucio Mario E Gargiulo Caramela S.n.c","Via Ruggero Orlando, 46/48",00168,Roma,Roma (RM),Lazio,F/19428,14005841003
FARMACIA BALDINELLI DEI DOTTORI BALDINELLI FABIO ED ALICE S.N.C.,"Via Tiburtina, 349",00011,Tivoli,Roma (RM),Lazio,F/9888,14095641008
MONTI TIBURTINI,"Via Monti Tiburtini, 598",00157,Roma,Roma (RM),Lazio,F/9308,12657381005
MATTEI SILVIA SAS,"Largo Trieste, 3",00010,Sant'angelo romano,Roma (RM),Lazio,F/9880,12659031004
DR.SSA LOREDANA LOMBARDI BOCCIA,"Viale Filippo Tommaso Marinetti, 211",00143,Roma,Roma (RM),Lazio,F/9416,13745491004
Farmacia Vallerano S.n.c. Di Ricci Bartoloni Giuliana E Tagliaferri Patrizio Maria,"Via Di Vallerano, 80",00128,Roma,Roma (RM),Lazio,F/19393,14026501008
GALLIA SAS DEL DOTT. EMILIO VISCA & C.,"Via Gallia, 102 - 104",00183,Roma,Roma (RM),Lazio,F/9406,12180761004
M & T ROMA FARMACIE DI MARIANI NATALINO & C. SAS,"Via Lorenzo il Magnifico, 60",00162,Roma,Roma (RM),Lazio,F/9215,10233851004
M&T ROMA FARMACIE DI MARIANI NATALINO & C. SAS,"Via Livorno, 27/a",00162,Roma,Roma (RM),Lazio,F/9228,10233851004
SOFI DOMENICA,"Viale Ungheria, 3",00027,Roviano,Roma (RM),Lazio,F/9947,06587911006
MASCIOTTA AGOSTINO,"Via Pippo Tamburri, 2 a",00169,Roma,Roma (RM),Lazio,F/9335,07947770587
EREDI DI LEO DEL DR. PASQUALE DI LEO & C. SNC,"Via Prenestina, 279/281/281A",00177,Roma,Roma (RM),Lazio,F/9424,08147261005
BENASSAI PIER DOMENICO,"Viale Quattro venti, 73/b/c",00152,Roma,Roma (RM),Lazio,F/9612,08872970580
ORLANDO GAETANO,"Via del Carmine, 6",00060,Magliano romano,Roma (RM),Lazio,F/9829,05392731005
SERLENGA TOMMASO,"Via Ettore Romagnoli, 76/78",00137,Roma,Roma (RM),Lazio,F/9103,02386100586
ANNIBALDI AMERICO,"Via Baldo degli Ubaldi, 196/B",00167,Roma,Roma (RM),Lazio,F/9754,09858860589
EREDI TRAINA SNC DI DANIELE E ANTONELLA MARCHI,"Via Donna Olimpia, 194",00152,Roma,Roma (RM),Lazio,F/9609,12267951007
"VITA NUOVA S.A.S., DEL DOTT. MICHELANGEL0 MUNDULA E C.","Via Palombarese, 137/141",00013,Mentana,Roma (RM),Lazio,F/9935,12511641008
TRE FONTANE,"Via Benedetto Croce, 149/151/153",00142,Roma,Roma (RM),Lazio,F/9493,12971941005
Farmacia Dott. Zelli Mauro S.r.l.,"Via Di Valle Melania, 151",00139,Roma,Roma (RM),Lazio,F/9128,13187571008
COMUNALE ALLUMIERE,"Via Civitavecchia, 39",00051,Allumiere,Roma (RM),Lazio,F/9792,00954281002
TURCHI PAOLO,"Via G. Baccelli, 160",00053,Civitavecchia,Roma (RM),Lazio,F/9802,07681281007
Maddalena Tiziana,"P.zza Mazzini, 5",00060,Canale monterano,Roma (RM),Lazio,F/9795,14238581004
SCOTTI MANDUZIO SNC DEL DR. ROBERTO MANDUZIO E C.,"Via Giunone Lucina, 1",00050,Santa marinella,Roma (RM),Lazio,F/9825,04617131000
SPADA DEL DOTT. CLAUDIO SABBATINI SNC,"Via Castellammare, 59",00050,Fiumicino,Roma (RM),Lazio,F/9561,08492741007
DELLA SCROFA SAS DELLA DR.SSA B. CONTARDI & C.,"Piazza Cardelli, 6/A",00186,Roma,Roma (RM),Lazio,F/9252,08577461000
CUPPOLETTI LILIANA,"Via Amico Aspertini, 219",00133,Roma,Roma (RM),Lazio,F/9346,08956690583
MAJONE DI AMALIA MAJONE E LUCIANA MAJONE E C. SNC,"Piazza S. Pierdamiani, 40",00125,Roma,Roma (RM),Lazio,F/9590,09567611000
BASCHIERI FRANCESCO,"Via L. Settembrini, 29/31",00195,Roma,Roma (RM),Lazio,F/9747,09617440582
TORELLI SAS DI TORELLI MARIA GRAZIA,"Via Mattia Battistini, 67",00167,Roma,Roma (RM),Lazio,F/9694,09633841003
MORELLI SNC,"Viale Odescalchi, 10",00062,Bracciano,Roma (RM),Lazio,F/9828,05291221009
FARMACIA BENNI DEL DOTT. BENNI LUIGI & C. - SOCIETA' IN ACCOMANDITA SEMPLICE,"Via dei Romagnoli, 753",00119,Roma,Roma (RM),Lazio,F/9646,05380541002
VILLARI ALESSANDRA,"Via dei Colli Portuensi, 310/A",00151,Roma,Roma (RM),Lazio,F/9618,06466610729
ILLUMINATI E DE LILLO SNC,"Piazza Irnerio, 40-41",00165,Roma,Roma (RM),Lazio,F/9786,06540801005
GALIZIA LETIZIA,"Via di Pietralata, 272/B",00158,Roma,Roma (RM),Lazio,F/9377,09438331002
VILLA CARPEGNA DELLA DR.SSA RITA LA TORRE & C. SNC,"Via Madonna del Riposo, 121",00165,Roma,Roma (RM),Lazio,F/9837,06293271000
DEL CIMENTO DOTT. ANGELO IZZO,"Via Accademia del Cimento, 16",00147,Roma,Roma (RM),Lazio,F/9557,07072701001
LINO SNC DELLE DR.SSE LORELLA E SABRINA LINO,"Viale Anicio Gallo, 154",00174,Roma,Roma (RM),Lazio,F/9385,07199201000
CONTE,"Via Sublacense, 19",00020,Agosta,Roma (RM),Lazio,F/9918,11541611007
STRAMPELLI SAS,"Via S. Croce in Gerusalemme, 22/A",00185,Roma,Roma (RM),Lazio,F/9109,11591621005
POMPILI POMPILIO DR. VITTORIO,"Via dei Glicini, 44 a/d",00172,Roma,Roma (RM),Lazio,F/9376,11674201006
COMUNALE ACQUA TRAVERSA SRL,"Via Prenestina Nuova, Km 7.2",00010,Gallicano nel lazio,Roma (RM),Lazio,F/18769,11854531008
D'AMICIS DR. ANDREA,"Via L. Ruspoli, 57",00149,Roma,Roma (RM),Lazio,F/9622,09532940583
"TORNAGHI DEI DOT.RI GIACOMO, ALESSANDRO E BENEDETTA TORNAGHI SNC","Via Naz. Tiburtina, 159",00010,Tivoli,Roma (RM),Lazio,F/9855,10827221002
"TORNAGHI DEI DOTTORI GIACOMO, ALESSANDRO E BENEDETTA TORNAGHI SNC","Via Maremmana Inferiore, 153",00010,Guidonia montecelio,Roma (RM),Lazio,F/9879,10827221002
DEL LIDO EREDI MASTELLI SNC DI GIULIANI GIANNA E FIGLIE,"Via Giovanni Garau, 9 Ang.V.le Rep. Marinare",00121,Roma,Roma (RM),Lazio,F/9607,01923391005
TRAVAGLINI DR. LUCA,"Via Cassia, 648/B",00189,Roma,Roma (RM),Lazio,F/9701,01928070661
Farmacia Panetta-lorenzon S.n.c.,"Via Del Pavone, 52/54",00063,Campagnano di roma,Roma (RM),Lazio,F/16596,14354031008
CENTRALE DOTT. GIORGIO DI GIOACCHINO SAS,"Viale Cola di Rienzo, 124",00192,Roma,Roma (RM),Lazio,F/9677,11702831006
