Denominazione,Indirizzo,CAP,Comune,Provincia,Regione,Codice_univoco,Partita_IVA,Direccion_completa
COMUNALE N.1,Via Isonzo,20013,Magenta,Milano (MI),Lombardia,F/3072,1082490150,"Via Isonzo, 20013 Magenta, Italia"
COOP.FARM.MANZONI,"Via Bigli, 28 (ang.via Manzoni)",20121,Milano,Milano (MI),Lombardia,F/2617,774640155,"Via Bigli, 28 (ang.via Manzoni), 20121 Milano, Italia"
COOP.FARM.S.AGNESE,"Via Giardini Aristice Calderini, 3",20123,Milano,Milano (MI),Lombardia,F/2618,774640155,"Via Giardini Aristice Calderini, 3, 20123 Milano, Italia"
COOP.FARM.VERCELLI,"Corso Vercelli, 5",20144,Milano,Milano (MI),Lombardia,F/2619,774640155,"Corso Vercelli, 5, 20144 Milano, Italia"
COOP.FARM.LIMA,"Via Plinio, 1 ( ang.Piazza Lima)",20129,Milano,Milano (MI),Lombardia,F/2620,774640155,"Via Plinio, 1 ( ang.Piazza Lima), 20129 Milano, Italia"
COOP.FARM.BAIAMONTI,"Piazza Baiamonti, 1",20154,Milano,Milano (MI),Lombardia,F/2621,774640155,"Piazza Baiamonti, 1, 20154 Milano, Italia"
COOP.FARM.COLOMBO,"Corso Colombo, 1",20144,Milano,Milano (MI),Lombardia,F/2622,774640155,"Corso Colombo, 1, 20144 Milano, Italia"
COOP.FARM.LAMARMORA,"Via Lamarmora, 2",20122,Milano,Milano (MI),Lombardia,F/2623,774640155,"Via Lamarmora, 2, 20122 Milano, Italia"
CORDUSIO SNC,"Via Cordusio, 2",20123,Milano,Milano (MI),Lombardia,F/2922,8741670965,"Via Cordusio, 2, 20123 Milano, Italia"
CORSICO,"Corso Lodi, 19",20135,Milano,Milano (MI),Lombardia,F/2929,11650210153,"Corso Lodi, 19, 20135 Milano, Italia"
POPOLARE,"Via Mazzini, 65",20078,San colombano al lambro,Milano (MI),Lombardia,F/2456,7273300157,"Via Mazzini, 65, 20078 San colombano al lambro, Italia"
DEL MERCATO,"Via Varsavia, 4",20137,Milano,Milano (MI),Lombardia,F/2664,875580151,"Via Varsavia, 4, 20137 Milano, Italia"
DELLA CITTADELLA,"Corso P.ta Ticinese, 50",20123,Milano,Milano (MI),Lombardia,F/2659,2939320152,"Corso P.ta Ticinese, 50, 20123 Milano, Italia"
DELLE QUERCE DEL DOTT. SERGIO SPITALERI & C. SAS,"Via G. Forni, 34",20161,Milano,Milano (MI),Lombardia,F/2824,9065840960,"Via G. Forni, 34, 20161 Milano, Italia"
DONATI DI DONATI GIUSEPPINA & C. SNC,"Via Italia, 18",20064,Gorgonzola,Milano (MI),Lombardia,F/3281,10703560150,"Via Italia, 18, 20064 Gorgonzola, Italia"
CORONA,"Via Carroccio, 19",20083,Gaggiano,Milano (MI),Lombardia,F/3199,1652120187,"Via Carroccio, 19, 20083 Gaggiano, Italia"
FODERA,"Piazza Liberta', 6",20056,Trezzo sull'adda,Milano (MI),Lombardia,F/3359,6259470968,"Piazza Liberta', 6, 20056 Trezzo sull'adda, Italia"
FALQUI,"Viale Zara, 145",20159,Milano,Milano (MI),Lombardia,F/2811,10169520151,"Viale Zara, 145, 20159 Milano, Italia"
FERRARINI SNC DI VIGANO' SOFIA & C.,"Piazza 5 Giornate, 6",20129,Milano,Milano (MI),Lombardia,F/2753,4026870966,"Piazza 5 Giornate, 6, 20129 Milano, Italia"
FIORDALISI,"Via Fiordalisi, 2",20146,Milano,Milano (MI),Lombardia,F/2827,8121600152,"Via Fiordalisi, 2, 20146 Milano, Italia"
FORLANINI,"Viale Forlanini, 50/5",20138,Milano,Milano (MI),Lombardia,F/2865,9833270151,"Viale Forlanini, 50/5, 20138 Milano, Italia"
G.DUE,"Via Falck, 19/A",20151,Milano,Milano (MI),Lombardia,F/2909,2376000960,"Via Falck, 19/A, 20151 Milano, Italia"
GABBIANI DE VECCHI ENEA,"Via della Moscova, 22",20121,Milano,Milano (MI),Lombardia,F/2686,4127060962,"Via della Moscova, 22, 20121 Milano, Italia"
GARDEN CITY SAS DEL DR. MAZZANTINI MASSIMO & C.,"Via Galvani, 20",20093,Cologno monzese,Milano (MI),Lombardia,F/3455,7117500962,"Via Galvani, 20, 20093 Cologno monzese, Italia"
GASPARI,"Via Liberta', 2",20070,Cerro al lambro,Milano (MI),Lombardia,F/3258,5065180969,"Via Liberta', 2, 20070 Cerro al lambro, Italia"
DELL'ANGELO S.A.S.,"Piazza Della Repubblica, 9",20066,Melzo,Milano (MI),Lombardia,F/3261,7333660962,"Piazza Della Repubblica, 9, 20066 Melzo, Italia"
GENOVA SAS,"Corso Genova, 27",20123,Milano,Milano (MI),Lombardia,F/2867,7210180969,"Corso Genova, 27, 20123 Milano, Italia"
GENOVESE SNC DI GENOVESE GIUSEPPE & C.,"Via Gandhi, 3",20017,Rho,Milano (MI),Lombardia,F/3104,4121570966,"Via Gandhi, 3, 20017 Rho, Italia"
GIAMBELLINO,"Via Giambellino ,64",20146,Milano,Milano (MI),Lombardia,F/2844,9013310157,"Via Giambellino ,64, 20146 Milano, Italia"
GRANCIA SAS DI DR. GRITTI CLAUDIO ANGELO & C. SAS,"Via Roma, 54",20020,Lainate,Milano (MI),Lombardia,F/3048,6723980964,"Via Roma, 54, 20020 Lainate, Italia"
GRANCIA SAS,"Via Grancia, 40/n",20020,Lainate,Milano (MI),Lombardia,F/3204,6723980964,"Via Grancia, 40/n, 20020 Lainate, Italia"
GRASSI LUISELLA,"Via Roma, 21",20060,Bellinzago lombardo,Milano (MI),Lombardia,F/3315,1398400182,"Via Roma, 21, 20060 Bellinzago lombardo, Italia"
GRILLI SNC,"Via C. Dolci, 6",20149,Milano,Milano (MI),Lombardia,F/2892,10739420155,"Via C. Dolci, 6, 20149 Milano, Italia"
BOCCACCIO,"Via Boccaccio, 26",20123,Milano,Milano (MI),Lombardia,F/2810,4636170153,"Via Boccaccio, 26, 20123 Milano, Italia"
BRIANZA SNC,"Viale Brianza, 23",20127,Milano,Milano (MI),Lombardia,F/3016,5675450968,"Viale Brianza, 23, 20127 Milano, Italia"
BROLETTO,"Via Broletto, 30",20121,Milano,Milano (MI),Lombardia,F/2807,8043670960,"Via Broletto, 30, 20121 Milano, Italia"
SAN CARLO SNC,"Via Parri, 57",20097,San donato milanese,Milano (MI),Lombardia,F/3256,5894160968,"Via Parri, 57, 20097 San donato milanese, Italia"
CAIEZZA,"Via Roma, 13",20010,Bareggio,Milano (MI),Lombardia,F/3023,7744040960,"Via Roma, 13, 20010 Bareggio, Italia"
CALDARINI,"Via Grossich, 11/15",20131,Milano,Milano (MI),Lombardia,F/2973,626580153,"Via Grossich, 11/15, 20131 Milano, Italia"
PASETTI SNC,"Via Umberto I, 44",20020,Robecchetto con induno,Milano (MI),Lombardia,F/3099,5085810967,"Via Umberto I, 44, 20020 Robecchetto con induno, Italia"
PAVESIO SAS,"Via Giorgio Chavez, 19",20131,Milano,Milano (MI),Lombardia,F/2837,5528980963,"Via Giorgio Chavez, 19, 20131 Milano, Italia"
PENATI,"Strada Provinciale 208, km 2",20061,Carugate,Milano (MI),Lombardia,F/3222,8502433096,"Strada Provinciale 208, km 2, 20061 Carugate, Italia"
PERINO,"Via Toti, 1/A",20020,Dairago,Milano (MI),Lombardia,F/3126,2145460123,"Via Toti, 1/A, 20020 Dairago, Italia"
Dispensario Dr.ssa Borgognoni Luisa,,20080,Calvignasco,Milano (MI),Lombardia,F/17584,1121480188,"nan, 20080 Calvignasco, Italia"
LIBERTY DI MANGIMI,"Via San Paolo, 7",20121,Milano,Milano (MI),Lombardia,F/2999,1682210032,"Via San Paolo, 7, 20121 Milano, Italia"
LOMOLINO SNC,"Via M. Gorki, 8",20098,San giuliano milanese,Milano (MI),Lombardia,F/3317,12984170154,"Via M. Gorki, 8, 20098 San giuliano milanese, Italia"
LONGARI,"Via I Maggio, 36",20021,Baranzate,Milano (MI),Lombardia,F/3141,9872330155,"Via I Maggio, 36, 20021 Baranzate, Italia"
LORETO SNC DEL DR. GRECO ANTONIO MARIA & C.,"Piazzale Loreto, 7",20131,Milano,Milano (MI),Lombardia,F/2887,10703870153,"Piazzale Loreto, 7, 20131 Milano, Italia"
SACCHI SNC DI SACCHI BERTRANDO & NOVARA ALESSANDRO,"Via Anfossi, 9",20135,Milano,Milano (MI),Lombardia,F/3015,3614190969,"Via Anfossi, 9, 20135 Milano, Italia"
SANT'AGOSTINO,"Via S. Vincenzo, 1",20123,Milano,Milano (MI),Lombardia,F/2660,8972030962,"Via S. Vincenzo, 1, 20123 Milano, Italia"
SARDEGNA S.N.C. -DR. DAVIDE MAZZOLI &C.,"Via Sardegna, 31",20146,Milano,Milano (MI),Lombardia,F/2630,5345570963,"Via Sardegna, 31, 20146 Milano, Italia"
SCHIAVIO SNC,"Via Carducci, 11",20123,Milano,Milano (MI),Lombardia,F/2649,5271460965,"Via Carducci, 11, 20123 Milano, Italia"
SCIENTIFICA,"Via C. Menotti, 18/21",20129,Milano,Milano (MI),Lombardia,F/2989,1033180157,"Via C. Menotti, 18/21, 20129 Milano, Italia"
SCOTTI ANGELA,"Via Manzoni, 14",20091,Bresso,Milano (MI),Lombardia,F/3468,9973310155,"Via Manzoni, 14, 20091 Bresso, Italia"
SEGRE DELLA DR.SSA DEBORAH SEGRE,"Via Primaticcio, 217",20147,Milano,Milano (MI),Lombardia,F/2880,7475020967,"Via Primaticcio, 217, 20147 Milano, Italia"
SEMPIO DEI DR.I DANIELE SEMPIO E GIANANTONIO SEMPIO,"Via Montegani, 4",20141,Milano,Milano (MI),Lombardia,F/2700,9699540960,"Via Montegani, 4, 20141 Milano, Italia"
SETTALA,"Via Trento, 27",20090,Settala,Milano (MI),Lombardia,F/3234,4143350967,"Via Trento, 27, 20090 Settala, Italia"
SOLARI,"Via Solari, 40",20144,Milano,Milano (MI),Lombardia,F/2829,7796270960,"Via Solari, 40, 20144 Milano, Italia"
SUSA SAS DR. LIBERO BUCCARELLI & C.,"Piazzale Susa, 6",20133,Milano,Milano (MI),Lombardia,F/2970,12376240151,"Piazzale Susa, 6, 20133 Milano, Italia"
TADDEI SNC DI BRUNA TADDEI & C.,"Via Airolo, 36",20159,Milano,Milano (MI),Lombardia,F/2676,8615080960,"Via Airolo, 36, 20159 Milano, Italia"
TETTONI,"Via Giovanni XXIII, 53",20010,Pregnana milanese,Milano (MI),Lombardia,F/3093,1652290154,"Via Giovanni XXIII, 53, 20010 Pregnana milanese, Italia"
TICINESE,"Corso S. Gottardo, 1",20136,Milano,Milano (MI),Lombardia,F/2636,1660590157,"Corso S. Gottardo, 1, 20136 Milano, Italia"
TOLSTOJ DI DR. HASSAN SANDRO,"Via Leone Tolstoj, 17",20146,Milano,Milano (MI),Lombardia,F/2628,9287610969,"Via Leone Tolstoj, 17, 20146 Milano, Italia"
TONALE,"Via Tonale, 26",20125,Milano,Milano (MI),Lombardia,F/2694,3866530151,"Via Tonale, 26, 20125 Milano, Italia"
TOSCHI,"Viale Corsica, 42",20137,Milano,Milano (MI),Lombardia,F/2693,793230152,"Viale Corsica, 42, 20137 Milano, Italia"
UNGHERIA DI DE LUCA EREDI SDF,"Viale Ungheria, 10",20138,Milano,Milano (MI),Lombardia,F/2752,10635170151,"Viale Ungheria, 10, 20138 Milano, Italia"
VARESINA SAS DR.SSA CRAVASCHINO MONICA & C.,"Via Trieste, 1/D",20021,Baranzate,Milano (MI),Lombardia,F/3180,5261460967,"Via Trieste, 1/D, 20021 Baranzate, Italia"
VENTO Andreulli,"Via G. Quarenghi, 40/1",20151,Milano,Milano (MI),Lombardia,F/2899,4727500961,"Via G. Quarenghi, 40/1, 20151 Milano, Italia"
VERCESI SAS,"Via Cinque Maggio, 1",20157,Milano,Milano (MI),Lombardia,F/2877,7492520965,"Via Cinque Maggio, 1, 20157 Milano, Italia"
CULZONI SNC DEL DR. EUGENIO CULZONI & C.,"Via Bianchi, 18/A",20019,Settimo milanese,Milano (MI),Lombardia,F/3043,6386160961,"Via Bianchi, 18/A, 20019 Settimo milanese, Italia"
CATTANEO,"Via S. Gimignano, 13/A",20146,Milano,Milano (MI),Lombardia,F/2721,5665730965,"Via S. Gimignano, 13/A, 20146 Milano, Italia"
D'AMBROSIO F. SNC DR. RUSSO GABRIELE & C.,"Via Baranzate, 45",20026,Novate milanese,Milano (MI),Lombardia,F/3131,5435840961,"Via Baranzate, 45, 20026 Novate milanese, Italia"
DE CARLO SNC,"Via 4 Novembre, 32",20090,Vimodrone,Milano (MI),Lombardia,F/3267,4950050965,"Via 4 Novembre, 32, 20090 Vimodrone, Italia"
DEL CORSO,"Corso Italia, 53",20025,Legnano,Milano (MI),Lombardia,F/3190,2406650123,"Corso Italia, 53, 20025 Legnano, Italia"
PLEBISCITI SNC,"Corso Plebisciti, 7",20129,Milano,Milano (MI),Lombardia,F/2754,5752130962,"Corso Plebisciti, 7, 20129 Milano, Italia"
Poasco di Alessandra Blaco,"Via Unica, 23",20097,San donato milanese,Milano (MI),Lombardia,F/3318,12955060152,"Via Unica, 23, 20097 San donato milanese, Italia"
PONTE NUOVO,"Via Ponte Nuovo, 40",20128,Milano,Milano (MI),Lombardia,F/2771,8598300963,"Via Ponte Nuovo, 40, 20128 Milano, Italia"
PONTE SEVESO,"Via Schiapparelli, 4",20125,Milano,Milano (MI),Lombardia,F/2599,1533800155,"Via Schiapparelli, 4, 20125 Milano, Italia"
PORTICI,"Via Lorenteggio, 22",20146,Milano,Milano (MI),Lombardia,F/2932,11702960151,"Via Lorenteggio, 22, 20146 Milano, Italia"
QT8,"Via Collecchio, 4",20148,Milano,Milano (MI),Lombardia,F/2815,7155480150,"Via Collecchio, 4, 20148 Milano, Italia"
QUAI DI QUAI ARDUINO GIOVANNI,"Via F.lli Fraschini, 8",20142,Milano,Milano (MI),Lombardia,F/3013,3610970968,"Via F.lli Fraschini, 8, 20142 Milano, Italia"
REMOTTI,"Viale Premuda, 10",20129,Milano,Milano (MI),Lombardia,F/2945,11988310154,"Viale Premuda, 10, 20129 Milano, Italia"
RISORGIMENTO SNC PALOTTA MASSIMO & C.,"Via Risorgimento, 90",20092,Cinisello balsamo,Milano (MI),Lombardia,F/3533,5501660962,"Via Risorgimento, 90, 20092 Cinisello balsamo, Italia"
RIVOLTA,"Via Caduti della Liberta', 10",20032,Cormano,Milano (MI),Lombardia,F/3387,5262810962,"Via Caduti della Liberta', 10, 20032 Cormano, Italia"
ROMA SNC - EREDI FERRI GIOVANNA DI FERRI MASSIMO & C.,"Via Roma, 76",20090,Cesano boscone,Milano (MI),Lombardia,F/3124,8113030152,"Via Roma, 76, 20090 Cesano boscone, Italia"
ROMBON,"Via Rombon, 29",20134,Milano,Milano (MI),Lombardia,F/2671,4113380150,"Via Rombon, 29, 20134 Milano, Italia"
RONDO' FARINI - MORETTI BARBARA,"Piazza Maciachini, 24",20159,Milano,Milano (MI),Lombardia,F/3007,3315190961,"Piazza Maciachini, 24, 20159 Milano, Italia"
ROSSETTO S.N.C. DR.SSA FRANCONE CRISTIANA & C.,"Piazzale Gorini, 14",20133,Milano,Milano (MI),Lombardia,F/2656,1186290159,"Piazzale Gorini, 14, 20133 Milano, Italia"
ROVELLI,"Piazza Europa , 17",20060,Cassina de'pecchi,Milano (MI),Lombardia,F/3288,11224470150,"Piazza Europa , 17, 20060 Cassina de'pecchi, Italia"
S. ANNA - DR. SOLFANELLI,"Via Roma, 101",20037,Paderno dugnano,Milano (MI),Lombardia,F/3120,568040968,"Via Roma, 101, 20037 Paderno dugnano, Italia"
S. CAMILLO SNC,"Piazzale Martini, 3",20137,Milano,Milano (MI),Lombardia,F/2894,10767360158,"Piazzale Martini, 3, 20137 Milano, Italia"
FARMACIA SAN GIORGIO SAS DOTT. FUMAGALLI CHIARA E C.,"Via Dante, 47",20096,Pioltello,Milano (MI),Lombardia,F/3300,9679900960,"Via Dante, 47, 20096 Pioltello, Italia"
S. LUCA - DR.SSA LIVRAGHI,"Via Carnevali, 70",20158,Milano,Milano (MI),Lombardia,F/2857,9510150155,"Via Carnevali, 70, 20158 Milano, Italia"
S. MARIA ALLA FONTANA,"Via Thaon di Revel, 12",20159,Milano,Milano (MI),Lombardia,F/2926,7617700153,"Via Thaon di Revel, 12, 20159 Milano, Italia"
S. MARTINO SNC,"Via Coti Zelati, 35",20037,Paderno dugnano,Milano (MI),Lombardia,F/3189,940290968,"Via Coti Zelati, 35, 20037 Paderno dugnano, Italia"
S. MAURIZIO SAS DEL DR. SIDOLI FRANCESCO & C.,"Via Cesare Battisti, 37",20090,Cologno monzese,Milano (MI),Lombardia,F/3549,2910560966,"Via Cesare Battisti, 37, 20090 Cologno monzese, Italia"
S. REMIGIO SAS,"Via XI Febbraio, 3",20090,Vimodrone,Milano (MI),Lombardia,F/3325,3514270960,"Via XI Febbraio, 3, 20090 Vimodrone, Italia"
S. ROCCO,"Via Monzoro, 2 a/b S.S. 11",20010,Cornaredo,Milano (MI),Lombardia,F/3162,10876080150,"Via Monzoro, 2 a/b S.S. 11, 20010 Cornaredo, Italia"
CORSO VERCELLI DI CERA STEFANO,"Via Cherubini, 2",20145,Milano,Milano (MI),Lombardia,F/2823,9479870967,"Via Cherubini, 2, 20145 Milano, Italia"
CALO' DEL DR CALO' DANTE,"Piazzale Gabrio Piola, 1",20131,Milano,Milano (MI),Lombardia,F/2653,9726360960,"Piazzale Gabrio Piola, 1, 20131 Milano, Italia"
CAMERA DEL DR. CAMERA GIACOMO,"Via Pogliani, 16",20090,Cesano boscone,Milano (MI),Lombardia,F/3052,13430700156,"Via Pogliani, 16, 20090 Cesano boscone, Italia"
CINQUE GIORNATE SNC,"Piazza Cinque Giornate, 7",20129,Milano,Milano (MI),Lombardia,F/2606,7111920968,"Piazza Cinque Giornate, 7, 20129 Milano, Italia"
CAPARARO CHIESA,"Via Rimembranze, 16",20088,Rosate,Milano (MI),Lombardia,F/3040,1033460153,"Via Rimembranze, 16, 20088 Rosate, Italia"
CARLO ALBERTO DEL DR. RAITERO MARCO SERGIO,"Via Mazzini, 12",20123,Milano,Milano (MI),Lombardia,F/2634,6660150969,"Via Mazzini, 12, 20123 Milano, Italia"
GRECO DI PICCARDI DOTT.NICOLA,"Viale delle Rimembranze di Greco, 40",20125,Milano,Milano (MI),Lombardia,F/2851,9180910961,"Viale delle Rimembranze di Greco, 40, 20125 Milano, Italia"
GIORNATI DR.SSA MARIA GRAZIA,"Piazza S. Martino, 9",20010,Inveruno,Milano (MI),Lombardia,F/3191,12329280155,"Piazza S. Martino, 9, 20010 Inveruno, Italia"
AL PORTELLO SNC DI ALBERTO PAIANI E MICAELA CLEMENTE,"Via Grosotto, 5 - angolo via Traiano",20149,Milano,Milano (MI),Lombardia,F/2938,5858450967,"Via Grosotto, 5 - angolo via Traiano, 20149 Milano, Italia"
S. MAURIZIO SAS DEL DR. SIDOLI FRANCESCO & C.,"Viale Lombardia, 29/49",20093,Cologno monzese,Milano (MI),Lombardia,F/3506,7904380966,"Viale Lombardia, 29/49, 20093 Cologno monzese, Italia"
MEDA SNC,"Via Meda, 37",20141,Milano,Milano (MI),Lombardia,F/2888,8119590969,"Via Meda, 37, 20141 Milano, Italia"
METALLA SNC,"Viale Umbria, 19",20135,Milano,Milano (MI),Lombardia,F/2914,11017670156,"Viale Umbria, 19, 20135 Milano, Italia"
METRO',"Via Marelli, 346/348",20099,Sesto san giovanni,Milano (MI),Lombardia,F/3559,12507580152,"Via Marelli, 346/348, 20099 Sesto san giovanni, Italia"
MODERNA SNC DR. RODOLFI PAOLO & C.,"Via Vittorio Veneto, 51",20091,Bresso,Milano (MI),Lombardia,F/3341,46220158,"Via Vittorio Veneto, 51, 20091 Bresso, Italia"
MOIZIO SNC,"Corso 22 Marzo, 37",20129,Milano,Milano (MI),Lombardia,F/2906,7355590964,"Corso 22 Marzo, 37, 20129 Milano, Italia"
MONFORTE SNC,"Corso Monforte, 19",20122,Milano,Milano (MI),Lombardia,F/2910,11016490150,"Corso Monforte, 19, 20122 Milano, Italia"
MONTE NERO - DR. CRESPI,"Viale Monte Nero, 59",20135,Milano,Milano (MI),Lombardia,F/2646,3955000157,"Viale Monte Nero, 59, 20135 Milano, Italia"
MORETTI MARCELLO,"Via Matteotti, 2",20095,Cusano milanino,Milano (MI),Lombardia,F/3560,3326190968,"Via Matteotti, 2, 20095 Cusano milanino, Italia"
MORINI SNC,"Largo Mazzini, 14",20017,Rho,Milano (MI),Lombardia,F/3157,10730020152,"Largo Mazzini, 14, 20017 Rho, Italia"
LA SAPIENZA,"Via Antonini, 56",20141,Milano,Milano (MI),Lombardia,F/2691,2942570124,"Via Antonini, 56, 20141 Milano, Italia"
Dispensario Dr.ssa Pavanetto,Via P.te Di Castano,20020,Nosate,Milano (MI),Lombardia,F/17654,797880150,"Via P.te Di Castano, 20020 Nosate, Italia"
PAVANETTO DR.SSA ANTONIA,"Via Della Stazione, 4",20029,Turbigo,Milano (MI),Lombardia,F/3044,797880150,"Via Della Stazione, 4, 20029 Turbigo, Italia"
MUNICIPALE N.44,"Piazza Scolari, 3",20151,Milano,Milano (MI),Lombardia,F/2675,1199250158,"Piazza Scolari, 3, 20151 Milano, Italia"
MUNICIPALE N.42,"Via Barzilai, 2",20146,Milano,Milano (MI),Lombardia,F/2677,1199250158,"Via Barzilai, 2, 20146 Milano, Italia"
MUNICIPALE N.18,"Via Alex Visconti, 22/A",20151,Milano,Milano (MI),Lombardia,F/2682,1199250158,"Via Alex Visconti, 22/A, 20151 Milano, Italia"
MUNICIPALE N.45,"Via Delle Betulle, 36/C",20152,Milano,Milano (MI),Lombardia,F/2702,1199250158,"Via Delle Betulle, 36/C, 20152 Milano, Italia"
MUNICIPALE N.4,"Via Volvinio, 25",20141,Milano,Milano (MI),Lombardia,F/2708,1199250158,"Via Volvinio, 25, 20141 Milano, Italia"
MUNICIPALE N.5,"Via Bagarotti, 40",20152,Milano,Milano (MI),Lombardia,F/2709,1199250158,"Via Bagarotti, 40, 20152 Milano, Italia"
MUNICIPALE N.6,"Piazza Monti, 9",20153,Milano,Milano (MI),Lombardia,F/2710,1199250158,"Piazza Monti, 9, 20153 Milano, Italia"
MUNICIPALE N.7,"Via Forze Armate, 328",20152,Milano,Milano (MI),Lombardia,F/2711,1199250158,"Via Forze Armate, 328, 20152 Milano, Italia"
MUNICIPALE N.11,"Via Livigno, 6/B",20158,Milano,Milano (MI),Lombardia,F/2712,1199250158,"Via Livigno, 6/B, 20158 Milano, Italia"
STAZIONE PORTA GENOVA SAS,"Via Vigevano, 45",20144,Milano,Milano (MI),Lombardia,F/3019,3759300969,"Via Vigevano, 45, 20144 Milano, Italia"
CENTRALE SAS,"Via Felice Cavallotti, 31",20093,Cologno monzese,Milano (MI),Lombardia,F/3517,7538910964,"Via Felice Cavallotti, 31, 20093 Cologno monzese, Italia"
BOFFALORA SNC,"Via Turati,1",20010,Boffalora sopra ticino,Milano (MI),Lombardia,F/3024,8030180965,"Via Turati,1, 20010 Boffalora sopra ticino, Italia"
ITALO INGLESE SNC,"Via E. Lussu, 4",20128,Milano,Milano (MI),Lombardia,F/2884,9617280152,"Via E. Lussu, 4, 20128 Milano, Italia"
PRETI SNC,"Via Milano, 6/A",20014,Nerviano,Milano (MI),Lombardia,F/3172,11016630151,"Via Milano, 6/A, 20014 Nerviano, Italia"
AZIENDA MULTISERVIZI FARMACIE SPA,Via Verga 113,20092,Cinisello balsamo,Milano (MI),Lombardia,F/18991,7945280969,"Via Verga 113, 20092 Cinisello balsamo, Italia"
COMUNALE N.1,Viale Rinascita Ang.ViaCasati,20092,Cinisello balsamo,Milano (MI),Lombardia,F/3379,7945280969,"Viale Rinascita Ang.ViaCasati, 20092 Cinisello balsamo, Italia"
COMUNALE N.2,"Largo Milano, 23",20092,Cinisello balsamo,Milano (MI),Lombardia,F/3380,7945280969,"Largo Milano, 23, 20092 Cinisello balsamo, Italia"
COMUNALE N.6,"Via Montegrappa, 124",20092,Cinisello balsamo,Milano (MI),Lombardia,F/3392,7945280969,"Via Montegrappa, 124, 20092 Cinisello balsamo, Italia"
COMUNALE N.3,"Via Marconi, 121",20092,Cinisello balsamo,Milano (MI),Lombardia,F/3396,7945280969,"Via Marconi, 121, 20092 Cinisello balsamo, Italia"
COMUNALE N.4,"Via Gran Sasso, 30",20092,Cinisello balsamo,Milano (MI),Lombardia,F/3406,7945280969,"Via Gran Sasso, 30, 20092 Cinisello balsamo, Italia"
COMUNALE N.5,Viale Fulvio Testi Supermer,20092,Cinisello balsamo,Milano (MI),Lombardia,F/3407,7945280969,"Viale Fulvio Testi Supermer, 20092 Cinisello balsamo, Italia"
COMUNALE N.8,"Via Friuli, 22",20092,Cinisello balsamo,Milano (MI),Lombardia,F/3421,7945280969,"Via Friuli, 22, 20092 Cinisello balsamo, Italia"
COMUNALE N.7,"Via XXV Aprile, 172",20092,Cinisello balsamo,Milano (MI),Lombardia,F/3426,7945280969,"Via XXV Aprile, 172, 20092 Cinisello balsamo, Italia"
COMUNALE N.9 CINISELLO,"Via Brunelleschi, 39/c",20092,Cinisello balsamo,Milano (MI),Lombardia,F/3440,7945280969,"Via Brunelleschi, 39/c, 20092 Cinisello balsamo, Italia"
SOCIALE - DR. BERRA,"Viale Monza, 126",20127,Milano,Milano (MI),Lombardia,F/2831,8397670152,"Viale Monza, 126, 20127 Milano, Italia"
ROUMELIOTOU,"Piazza Cavalieri di Vittorio Veneto, 2",20083,Gaggiano,Milano (MI),Lombardia,F/3105,9574200961,"Piazza Cavalieri di Vittorio Veneto, 2, 20083 Gaggiano, Italia"
BRAMBILLA,"Via Quasimodo, 2",20090,Vimodrone,Milano (MI),Lombardia,F/3306,2726050962,"Via Quasimodo, 2, 20090 Vimodrone, Italia"
COMUNALE N.1,"Via Caboto, 3",20094,Corsico,Milano (MI),Lombardia,F/3039,12130890150,"Via Caboto, 3, 20094 Corsico, Italia"
COMUNALE N.2,"Via Curiel, 24",20094,Corsico,Milano (MI),Lombardia,F/3080,12130890150,"Via Curiel, 24, 20094 Corsico, Italia"
COMUNALE N.3,"Via Cavour, 94",20094,Corsico,Milano (MI),Lombardia,F/3097,12130890150,"Via Cavour, 94, 20094 Corsico, Italia"
PIMPINELLI,"Via Aldini, 108",20157,Milano,Milano (MI),Lombardia,F/2604,3709730968,"Via Aldini, 108, 20157 Milano, Italia"
SARTORIO SNC,"Piazza S. Ghezzi, 6",20063,Cernusco sul naviglio,Milano (MI),Lombardia,F/3303,10166700152,"Piazza S. Ghezzi, 6, 20063 Cernusco sul naviglio, Italia"
AFFORI DI DOTT. SPAGGIARI LUIGI WAIFER & C SAS,"Via Zanoli, 3",20161,Milano,Milano (MI),Lombardia,F/2836,5513770965,"Via Zanoli, 3, 20161 Milano, Italia"
MOZART DOTT. YABRAK,"Via Mozart, 41",20096,Pioltello,Milano (MI),Lombardia,F/3236,6518820961,"Via Mozart, 41, 20096 Pioltello, Italia"
ROVIDA,"Viale Lombardia, 5",20089,Rozzano,Milano (MI),Lombardia,F/3227,6526630964,"Viale Lombardia, 5, 20089 Rozzano, Italia"
CENTRALE SNC,"Via D'Annunzio, 86",20096,Pioltello,Milano (MI),Lombardia,F/3322,7639210967,"Via D'Annunzio, 86, 20096 Pioltello, Italia"
OLONA SNC,"Viale Coni Zugna, 43",20144,Milano,Milano (MI),Lombardia,F/2939,7639340962,"Viale Coni Zugna, 43, 20144 Milano, Italia"
S. GIUSEPPE SNC,"Via Papa Giovanni XXIII, 1",20093,Cologno monzese,Milano (MI),Lombardia,F/3534,2732680968,"Via Papa Giovanni XXIII, 1, 20093 Cologno monzese, Italia"
NAZIONALE DR. BOGHI ALESSANDRO,"Corso Colombo, 6",20144,Milano,Milano (MI),Lombardia,F/2826,3616430132,"Corso Colombo, 6, 20144 Milano, Italia"
