Denominazione,Indirizzo,CAP,Comune,Provincia,Regione,Codice_univoco,Partita_IVA
Poasco di Alessandra Blaco,"Via Unica, 23",20097,San donato milanese,Milano (MI),Lombardia,F/3318,12955060152
PONTE NUOVO,"Via Ponte Nuovo, 40",20128,Milano,Milano (MI),Lombardia,F/2771,08598300963
PONTE SEVESO,"Via Schiapparelli, 4",20125,Milano,Milano (MI),Lombardia,F/2599,01533800155
PORTICI,"Via Lorenteggio, 22",20146,Milano,Milano (MI),Lombardia,F/2932,11702960151
QT8,"Via Collecchio, 4",20148,Milano,Milano (MI),Lombardia,F/2815,07155480150
QUAI DI QUAI ARDUINO GIOVANNI,"Via F.lli Fraschini, 8",20142,Milano,Milano (MI),Lombardia,F/3013,03610970968
REMOTTI,"Viale Premuda, 10",20129,Milano,Milano (MI),Lombardia,F/2945,11988310154
RISORGIMENTO SNC PALOTTA MASSIMO & C.,"Via Risorgimento, 90",20092,Cinisello balsamo,Milano (MI),Lombardia,F/3533,05501660962
RIVOLTA,"Via Caduti della Liberta', 10",20032,Cormano,Milano (MI),Lombardia,F/3387,05262810962
ROMA SNC - EREDI FERRI GIOVANNA DI FERRI MASSIMO & C.,"Via Roma, 76",20090,Cesano boscone,Milano (MI),Lombardia,F/3124,08113030152
ROMBON,"Via Rombon, 29",20134,Milano,Milano (MI),Lombardia,F/2671,04113380150
RONDO' FARINI - MORETTI BARBARA,"Piazza Maciachini, 24",20159,Milano,Milano (MI),Lombardia,F/3007,03315190961
ROSSETTO S.N.C. DR.SSA FRANCONE CRISTIANA & C.,"Piazzale Gorini, 14",20133,Milano,Milano (MI),Lombardia,F/2656,01186290159
ROVELLI,"Piazza Europa , 17",20060,Cassina de'pecchi,Milano (MI),Lombardia,F/3288,11224470150
S. ANNA - DR. SOLFANELLI,"Via Roma, 101",20037,Paderno dugnano,Milano (MI),Lombardia,F/3120,00568040968
S. CAMILLO SNC,"Piazzale Martini, 3",20137,Milano,Milano (MI),Lombardia,F/2894,10767360158
FARMACIA SAN GIORGIO SAS DOTT. FUMAGALLI CHIARA E C.,"Via Dante, 47",20096,Pioltello,Milano (MI),Lombardia,F/3300,09679900960
S. LUCA - DR.SSA LIVRAGHI,"Via Carnevali, 70",20158,Milano,Milano (MI),Lombardia,F/2857,09510150155
S. MARIA ALLA FONTANA,"Via Thaon di Revel, 12",20159,Milano,Milano (MI),Lombardia,F/2926,07617700153
S. MARTINO SNC,"Via Coti Zelati, 35",20037,Paderno dugnano,Milano (MI),Lombardia,F/3189,00940290968
S. MAURIZIO SAS DEL DR. SIDOLI FRANCESCO & C.,"Via Cesare Battisti, 37",20090,Cologno monzese,Milano (MI),Lombardia,F/3549,02910560966
S. REMIGIO SAS,"Via XI Febbraio, 3",20090,Vimodrone,Milano (MI),Lombardia,F/3325,03514270960
S. ROCCO,"Via Monzoro, 2 a/b S.S. 11",20010,Cornaredo,Milano (MI),Lombardia,F/3162,10876080150
CORSO VERCELLI DI CERA STEFANO,"Via Cherubini, 2",20145,Milano,Milano (MI),Lombardia,F/2823,09479870967
CALO' DEL DR CALO' DANTE,"Piazzale Gabrio Piola, 1",20131,Milano,Milano (MI),Lombardia,F/2653,09726360960
CAMERA DEL DR. CAMERA GIACOMO,"Via Pogliani, 16",20090,Cesano boscone,Milano (MI),Lombardia,F/3052,13430700156
CINQUE GIORNATE SNC,"Piazza Cinque Giornate, 7",20129,Milano,Milano (MI),Lombardia,F/2606,07111920968
CAPARARO CHIESA,"Via Rimembranze, 16",20088,Rosate,Milano (MI),Lombardia,F/3040,01033460153
CARLO ALBERTO DEL DR. RAITERO MARCO SERGIO,"Via Mazzini, 12",20123,Milano,Milano (MI),Lombardia,F/2634,06660150969
GRECO DI PICCARDI DOTT.NICOLA,"Viale delle Rimembranze di Greco, 40",20125,Milano,Milano (MI),Lombardia,F/2851,09180910961
GIORNATI DR.SSA MARIA GRAZIA,"Piazza S. Martino, 9",20010,Inveruno,Milano (MI),Lombardia,F/3191,12329280155
AL PORTELLO SNC DI ALBERTO PAIANI E MICAELA CLEMENTE,"Via Grosotto, 5 - angolo via Traiano",20149,Milano,Milano (MI),Lombardia,F/2938,05858450967
S. MAURIZIO SAS DEL DR. SIDOLI FRANCESCO & C.,"Viale Lombardia, 29/49",20093,Cologno monzese,Milano (MI),Lombardia,F/3506,07904380966
MEDA SNC,"Via Meda, 37",20141,Milano,Milano (MI),Lombardia,F/2888,08119590969
METALLA SNC,"Viale Umbria, 19",20135,Milano,Milano (MI),Lombardia,F/2914,11017670156
METRO',"Via Marelli, 346/348",20099,Sesto san giovanni,Milano (MI),Lombardia,F/3559,12507580152
MODERNA SNC DR. RODOLFI PAOLO & C.,"Via Vittorio Veneto, 51",20091,Bresso,Milano (MI),Lombardia,F/3341,00046220158
MOIZIO SNC,"Corso 22 Marzo, 37",20129,Milano,Milano (MI),Lombardia,F/2906,07355590964
MONFORTE SNC,"Corso Monforte, 19",20122,Milano,Milano (MI),Lombardia,F/2910,11016490150
MONTE NERO - DR. CRESPI,"Viale Monte Nero, 59",20135,Milano,Milano (MI),Lombardia,F/2646,03955000157
MORETTI MARCELLO,"Via Matteotti, 2",20095,Cusano milanino,Milano (MI),Lombardia,F/3560,03326190968
MORINI SNC,"Largo Mazzini, 14",20017,Rho,Milano (MI),Lombardia,F/3157,10730020152
LA SAPIENZA,"Via Antonini, 56",20141,Milano,Milano (MI),Lombardia,F/2691,02942570124
Dispensario Dr.ssa Pavanetto,Via P.te Di Castano,20020,Nosate,Milano (MI),Lombardia,F/17654,00797880150
PAVANETTO DR.SSA ANTONIA,"Via Della Stazione, 4",20029,Turbigo,Milano (MI),Lombardia,F/3044,00797880150
MUNICIPALE N.44,"Piazza Scolari, 3",20151,Milano,Milano (MI),Lombardia,F/2675,01199250158
MUNICIPALE N.42,"Via Barzilai, 2",20146,Milano,Milano (MI),Lombardia,F/2677,01199250158
MUNICIPALE N.18,"Via Alex Visconti, 22/A",20151,Milano,Milano (MI),Lombardia,F/2682,01199250158
MUNICIPALE N.45,"Via Delle Betulle, 36/C",20152,Milano,Milano (MI),Lombardia,F/2702,01199250158
MUNICIPALE N.4,"Via Volvinio, 25",20141,Milano,Milano (MI),Lombardia,F/2708,01199250158
MUNICIPALE N.5,"Via Bagarotti, 40",20152,Milano,Milano (MI),Lombardia,F/2709,01199250158
MUNICIPALE N.6,"Piazza Monti, 9",20153,Milano,Milano (MI),Lombardia,F/2710,01199250158
MUNICIPALE N.7,"Via Forze Armate, 328",20152,Milano,Milano (MI),Lombardia,F/2711,01199250158
MUNICIPALE N.11,"Via Livigno, 6/B",20158,Milano,Milano (MI),Lombardia,F/2712,01199250158
STAZIONE PORTA GENOVA SAS,"Via Vigevano, 45",20144,Milano,Milano (MI),Lombardia,F/3019,03759300969
CENTRALE SAS,"Via Felice Cavallotti, 31",20093,Cologno monzese,Milano (MI),Lombardia,F/3517,07538910964
BOFFALORA SNC,"Via Turati,1",20010,Boffalora sopra ticino,Milano (MI),Lombardia,F/3024,08030180965
ITALO INGLESE SNC,"Via E. Lussu, 4",20128,Milano,Milano (MI),Lombardia,F/2884,09617280152
PRETI SNC,"Via Milano, 6/A",20014,Nerviano,Milano (MI),Lombardia,F/3172,11016630151
AZIENDA MULTISERVIZI FARMACIE SPA,Via Verga 113,20092,Cinisello balsamo,Milano (MI),Lombardia,F/18991,07945280969
COMUNALE N.1,Viale Rinascita Ang.ViaCasati,20092,Cinisello balsamo,Milano (MI),Lombardia,F/3379,07945280969
COMUNALE N.2,"Largo Milano, 23",20092,Cinisello balsamo,Milano (MI),Lombardia,F/3380,07945280969
COMUNALE N.6,"Via Montegrappa, 124",20092,Cinisello balsamo,Milano (MI),Lombardia,F/3392,07945280969
COMUNALE N.3,"Via Marconi, 121",20092,Cinisello balsamo,Milano (MI),Lombardia,F/3396,07945280969
COMUNALE N.4,"Via Gran Sasso, 30",20092,Cinisello balsamo,Milano (MI),Lombardia,F/3406,07945280969
COMUNALE N.5,Viale Fulvio Testi Supermer,20092,Cinisello balsamo,Milano (MI),Lombardia,F/3407,07945280969
COMUNALE N.8,"Via Friuli, 22",20092,Cinisello balsamo,Milano (MI),Lombardia,F/3421,07945280969
COMUNALE N.7,"Via XXV Aprile, 172",20092,Cinisello balsamo,Milano (MI),Lombardia,F/3426,07945280969
COMUNALE N.9 CINISELLO,"Via Brunelleschi, 39/c",20092,Cinisello balsamo,Milano (MI),Lombardia,F/3440,07945280969
SOCIALE - DR. BERRA,"Viale Monza, 126",20127,Milano,Milano (MI),Lombardia,F/2831,08397670152
ROUMELIOTOU,"Piazza Cavalieri di Vittorio Veneto, 2",20083,Gaggiano,Milano (MI),Lombardia,F/3105,09574200961
BRAMBILLA,"Via Quasimodo, 2",20090,Vimodrone,Milano (MI),Lombardia,F/3306,02726050962
COMUNALE N.1,"Via Caboto, 3",20094,Corsico,Milano (MI),Lombardia,F/3039,12130890150
COMUNALE N.2,"Via Curiel, 24",20094,Corsico,Milano (MI),Lombardia,F/3080,12130890150
COMUNALE N.3,"Via Cavour, 94",20094,Corsico,Milano (MI),Lombardia,F/3097,12130890150
PIMPINELLI,"Via Aldini, 108",20157,Milano,Milano (MI),Lombardia,F/2604,03709730968
SARTORIO SNC,"Piazza S. Ghezzi, 6",20063,Cernusco sul naviglio,Milano (MI),Lombardia,F/3303,10166700152
AFFORI DI DOTT. SPAGGIARI LUIGI WAIFER & C SAS,"Via Zanoli, 3",20161,Milano,Milano (MI),Lombardia,F/2836,05513770965
MOZART DOTT. YABRAK,"Via Mozart, 41",20096,Pioltello,Milano (MI),Lombardia,F/3236,06518820961
ROVIDA,"Viale Lombardia, 5",20089,Rozzano,Milano (MI),Lombardia,F/3227,06526630964
CENTRALE SNC,"Via D'Annunzio, 86",20096,Pioltello,Milano (MI),Lombardia,F/3322,07639210967
OLONA SNC,"Viale Coni Zugna, 43",20144,Milano,Milano (MI),Lombardia,F/2939,07639340962
S. GIUSEPPE SNC,"Via Papa Giovanni XXIII, 1",20093,Cologno monzese,Milano (MI),Lombardia,F/3534,02732680968
NAZIONALE DR. BOGHI ALESSANDRO,"Corso Colombo, 6",20144,Milano,Milano (MI),Lombardia,F/2826,03616430132
VIALBA,"VIA ARSIA, 152",20157,Milano,Milano (MI),Lombardia,F/2674,01218860151
S. VITTORE,"Piazza S. Vittore, 16",20017,Rho,Milano (MI),Lombardia,F/3147,10095590153
S. SPIRITO SNC DI DONATI MARIA LUISA E ALBERTOCCHI ROBERTO,"Viale Monza, 325",20126,Milano,Milano (MI),Lombardia,F/2876,05989380968
ORNATO,"Via Ornato, 13/A",20162,Milano,Milano (MI),Lombardia,F/2669,06075690153
PANIGATI,"Via Garibaldi, 11",20013,Magenta,Milano (MI),Lombardia,F/3140,08714030965
INTROINI SNC,"Via Pontida, 2",20025,Legnano,Milano (MI),Lombardia,F/3030,05029800967
MELCHIORRE GIOIA,"Via Melchiorre Gioia, 135",20125,Milano,Milano (MI),Lombardia,F/2701,05248820960
CARPIANO SNC,"Via Liguria, 1",20080,Carpiano,Milano (MI),Lombardia,F/3316,05986970969
MORANDI SAS,"Via Mario Belli, 8",20060,Pozzuolo martesana,Milano (MI),Lombardia,F/3297,07721660962
BORSA SNC,"Via Milano, 18",20067,Paullo,Milano (MI),Lombardia,F/3255,07777290961
INTERNAZIONALE,"Via C. Matteucci, 4",20129,Milano,Milano (MI),Lombardia,F/2848,07144180960
SEGURO SNC,"Via Edison, 5",20019,Settimo milanese,Milano (MI),Lombardia,F/3170,10968470152
S. ILARIO,"Via Garibaldi, 51",20014,Nerviano,Milano (MI),Lombardia,F/3177,11495880152
GALILEO SNC,"Via Viviani, 2",20124,Milano,Milano (MI),Lombardia,F/2930,11632930159
ASMR FARMACIA COMUNALE,"Via Pineta, 3",20027,Rescaldina,Milano (MI),Lombardia,F/3085,11667520156
TARAMELLI,"Via Piave, 24",20010,Pogliano milanese,Milano (MI),Lombardia,F/3182,11757030157
COMOTTI,"Piazza Cavour, 5",20121,Milano,Milano (MI),Lombardia,F/2610,00259480150
MONTEGANI SNC,"Via Barrili, 20",20141,Milano,Milano (MI),Lombardia,F/2782,05133410968
S. FEDELE SNC,"Via Sempione, 66",20016,Pero,Milano (MI),Lombardia,F/3211,03326170960
FARMACEUTICA BRAMANTE,"Via Pacini, 30",20131,Milano,Milano (MI),Lombardia,F/2603,01032620153
OLMI SNC,"Via Delle Betulle, 10",20152,Milano,Milano (MI),Lombardia,F/2967,08716030963
Dispensario Dr. Foffano,Piazza Marconi,20069,Pozzo d'adda,Milano (MI),Lombardia,F/17582,02867140960
FOFFANO,"Via Dante, 76",20060,Trezzano rosa,Milano (MI),Lombardia,F/3546,02867140960
FARMEUROPA SAS,"Via Eugenio Curiel, 25",20089,Rozzano,Milano (MI),Lombardia,F/3276,08325900960
TREE FARMA SNC DI FERRARI EMANUELA E LANTIERI CARMELA,"Via Visconti, 18/C",20063,Cernusco sul naviglio,Milano (MI),Lombardia,F/3277,08703660962
MALUGANI SAS DR. GASTALDI GIANCARLO & C.,"Via Predabissi, 2",20131,Milano,Milano (MI),Lombardia,F/2849,05528970964
Dispensario Dr. Magistrelli,Via Roma,20090,Rodano,Milano (MI),Lombardia,F/17665,05705030962
MAGISTRELLI SNC DR.SSA MAGISTRELLI MARIA MADDALENA & C.,"Via delle Quercie, 1",20090,Rodano,Milano (MI),Lombardia,F/3296,05705030962
"Farmacia Giulio Cesare S.n.c. Dei Dr. Roberto, Gabriele E Francesca Marzani","Via Monte Rosa, 27",20149,Milano,Milano (MI),Lombardia,F/2635,10107480963
PONTE VITTORIA SNC DR.SSA LOJERCIO ORIETTA & C.,"Via Visconti Di Modrone, 1",20122,Milano,Milano (MI),Lombardia,F/2654,04900610967
MISSORI SNC,"Piazza Missori, 3",20123,Milano,Milano (MI),Lombardia,F/2952,12263860152
EUROPA SAS DEL DR. MARIO DE CONCA & C.,"Viale Monza, 177",20126,Milano,Milano (MI),Lombardia,F/2960,12507350150
MACCIONI SNC DI PATRIZIA MACCIONI E CATIA MACCIONI,"Via Lepontina, 13",20159,Milano,Milano (MI),Lombardia,F/2994,13148090155
DANTE,"Via Dei Gigli, 11",20094,Corsico,Milano (MI),Lombardia,F/3108,04301140150
VENTRINI SNC DR.I BADO' BRUNO & C.,"Corso XXII Marzo, 23",20129,Milano,Milano (MI),Lombardia,F/2692,05046640966
CHIMICA SNC,"Piazza Verdi, 1",20011,Corbetta,Milano (MI),Lombardia,F/3123,05294970966
"Pharmanovate S.n.c Di Spedicati M., Pennini L. E Romano C.","Via Polveriera, 29",20026,Novate milanese,Milano (MI),Lombardia,F/19876,10030070964
FIAMMENGHI SAS DEL DR. ROBERTO BIGNAMI & C.,"Corso Matteotti, 60",20084,Lacchiarella,Milano (MI),Lombardia,F/3263,05247650962
LAMPUGNANO,"Via Natta, 20",20151,Milano,Milano (MI),Lombardia,F/2832,08299490154
GHIOZZI SAS DI GHIOZZI F. & C.,"Corso Europa, 42",20060,Pessano con bornago,Milano (MI),Lombardia,F/3278,08318030965
GHIOZZI SAS DI GHIOZZI F. & C.,"Via Piave, 9",20060,Bussero,Milano (MI),Lombardia,F/3313,08318030965
DEL GARIBALDI,"Corso Garibaldi, 83",20121,Milano,Milano (MI),Lombardia,F/2853,08958070156
BULDRINI DI ROSARIA PACCHIONI,"Viale Brianza, 2",20092,Cinisello balsamo,Milano (MI),Lombardia,F/3496,09567620969
FARMACIA STERLE DEL DR. STERLE ALBERTO,"Piazza S.Giorgio, 29",20012,Cuggiono,Milano (MI),Lombardia,F/3028,09642960968
ZUCCA SAS DEL DR. ZUCCA FRANCESCO & ZUCCA SARA,"Via Roma, 8",20090,Segrate,Milano (MI),Lombardia,F/3289,05935160969
CATTANEO SNC,"Via Mazzini, 6",20013,Magenta,Milano (MI),Lombardia,F/3032,06498600961
EMILIA DELLA DOTT:SSA TOSCANI GRAZIELLA,Via Emilia snc - ang. Via Romagna,20090,Buccinasco,Milano (MI),Lombardia,F/3138,09084060962
EREDI DR. BERNARDI ENRICO,"Via Repubblica, 75",20026,Novate milanese,Milano (MI),Lombardia,F/3035,09415190967
RIMOLDI SAS,"Via Vittorio Veneto, 54",20062,Cassano d'adda,Milano (MI),Lombardia,F/3302,06806810963
MONTE ROSA SNC,"Via Pagliano, 1/A",20149,Milano,Milano (MI),Lombardia,F/2953,07601070969
CERINI,"Via A. Saffi, 6",20123,Milano,Milano (MI),Lombardia,F/2608,07734420966
S. ANDREA,"Via Tripoli, 86",20037,Paderno dugnano,Milano (MI),Lombardia,F/3135,09134850156
AZIENDA SPECIALE FARMACEUTICA LAINATE,Via La Marmora,20020,Lainate,Milano (MI),Lombardia,F/17945,11674060154
RIPAMONTI,"Via Ripamonti, 15",20136,Milano,Milano (MI),Lombardia,F/2917,12020110156
SERENELLA SNC,"Piazza Alfieri, 9",20098,San giuliano milanese,Milano (MI),Lombardia,F/3283,10703850155
Farmacia Certosa S.a.s.,"Viale Certosa, 121",20151,Milano,Milano (MI),Lombardia,F/2891,10704850154
EUROPEA SNC,"Via Girotti, 12",20010,Bareggio,Milano (MI),Lombardia,F/3161,10921790159
S. ANNA,"Viale Sempione, 7",20020,Arese,Milano (MI),Lombardia,F/3200,12958430154
LA PIAZZETTA DOTTORI VAZZANA FRANCESCA MANUELA & SALVATORE FOTI SNC,"Via Sabatino Lopez, 3",20157,Milano,Milano (MI),Lombardia,F/3000,13475660158
S. PAOLO SAS,"Via Pordenone, 1",20132,Milano,Milano (MI),Lombardia,F/2997,13367530154
SALVI,"Via S. Marco, 18",20121,Milano,Milano (MI),Lombardia,F/2657,02849140153
GAGGIOLO,"Via Fratelli Rosselli, 14",20030,Senago,Milano (MI),Lombardia,F/3122,05042840966
LAGHI,"Viale Certosa, 282",20156,Milano,Milano (MI),Lombardia,F/2874,10224840156
SAN LUIGI SNC,"Corso Lodi, 62",20139,Milano,Milano (MI),Lombardia,F/2885,04546580962
UMBRIA S.A.S.,"Viale Umbria, 109",20135,Milano,Milano (MI),Lombardia,F/2873,04622770966
DI LISCATE SAS DR. FRANCESCO NOBILE & C.,"Via IV Novembre, 22",20060,Liscate,Milano (MI),Lombardia,F/3299,09697020965
GIARDINO DOLCI RENATO,"Via Giardino, 45",20077,Melegnano,Milano (MI),Lombardia,F/3314,03788310963
GEMMO SAS,"Piazza Della Vittoria, 16",20066,Melzo,Milano (MI),Lombardia,F/3230,05992950963
BALDINI SNC,"Corso Buenos Aires, 39",20124,Milano,Milano (MI),Lombardia,F/2663,06161300964
BRAMBILLA,"Piazza Litta Modignani, 26",20010,Ossona,Milano (MI),Lombardia,F/3051,06235650154
AMORETTI SNC DI CRUPI NICOLA E C. SNC,"Viale Espinasse, 30",20156,Milano,Milano (MI),Lombardia,F/2730,06469250960
MERLINO DELLA DR.SSA ALESSANDRA MERLINO E C. SAS,"Via Della Resistenza, 30",20068,Peschiera borromeo,Milano (MI),Lombardia,F/3268,05684210965
RAIMONDI SNC,"Largo La Foppa, 1",20121,Milano,Milano (MI),Lombardia,F/2846,05752140961
Carnelli Paolo,"Via Lomellina, 5",20090,Buccinasco,Milano (MI),Lombardia,F/18310,02532480122
Comunale,Viale Milanofiori C/o Centro Commerciale,20090,Assago,Milano (MI),Lombardia,F/18712,07850040960
VALLEAMBROSIA SNC DEI DOTTORI SIMONA CHIESA E ALBERTO TADINI,"Via Valleambrosia, 45",20089,Rozzano,Milano (MI),Lombardia,F/3250,08742290961
CONFALONIERI SNC DEL DOR. CONFALONIERI FEDERICO,"Viale Monza, 63",20125,Milano,Milano (MI),Lombardia,F/2795,08830300961
MUCCHIATI DI BUSTO GAROLFO SNC DI PIRAZZINI ANGELO & C.,"Piazza Concordia, 15",20020,Busto garolfo,Milano (MI),Lombardia,F/3171,09012150968
Dispensario Farmacia Balocco Snc,"Via Roma, 2",20010,Vanzago,Milano (MI),Lombardia,F/17655,07632950965
BALOCCO SNC,"Via V. Emanuele, 25/a",20010,Vanzago,Milano (MI),Lombardia,F/3065,07632950965
GAIERA,"Piazza Mazzini, 37",20022,Castano primo,Milano (MI),Lombardia,F/3094,04208510158
TIBALDI SNC DI LAVAGNI PAOLA E DA RIVA LUCA CESARE,"Via Tibaldi, 15",20136,Milano,Milano (MI),Lombardia,F/2858,09089540968
S. CELSO,"Via Crocefisso, 1",20122,Milano,Milano (MI),Lombardia,F/2902,10992670157
COLOMBO SNC,"Via Roma, 57",20010,San giorgio su legnano,Milano (MI),Lombardia,F/3166,11006770157
COMUNALE N.1,"Via Giacomo Matteotti, 7/9",20026,Novate milanese,Milano (MI),Lombardia,F/3079,11670260154
COMUNALE N.2,"Via Carlo Amoretti, 1",20026,Novate milanese,Milano (MI),Lombardia,F/3188,11670260154
Bonomi Snc,"Piazza Unità D'Italia, 6",20010,Canegrate,Milano (MI),Lombardia,F/3169,11010000153
EREDI GELO SAS,"Via Giardini, 15",20070,Dresano,Milano (MI),Lombardia,F/3266,05286200968
DELLA FONTANA SNC,"Piazza Del Popolo, 25",20010,Arluno,Milano (MI),Lombardia,F/3090,05329430960
CENTRALE SNC DR.I GATTI MARCO E PEZZANI SILVANA,"Piazza S. Magno, 32",20025,Legnano,Milano (MI),Lombardia,F/3029,05069450962
"CENTRALE SNC ""FARMACIA SAN LUIGI""","Corso Magenta, 91",20025,Legnano,Milano (MI),Lombardia,F/3031,05069450962
EREDI CATALUCCI snc,"Via Ripa Ticinese, 99",20143,Milano,Milano (MI),Lombardia,F/2965,12041830154
HUMANITAS DI TOSELLI GIAMPIERO & C. SNC,"Via Melchiorre Gioia, 43",20124,Milano,Milano (MI),Lombardia,F/2695,12588160155
HUMANITAS SNC,"Via F. Filzi, 10",20124,Milano,Milano (MI),Lombardia,F/2959,12588160155
FARRIS SAS,"Viale Dei Platini,8 6",20020,Arese,Milano (MI),Lombardia,F/3179,06732150963
GIANNICE SNC,"Via Giacomo Matteotti, 382",20099,Sesto san giovanni,Milano (MI),Lombardia,F/3413,04917250963
ARGONNE SAS DEL DR. MAZZANTINI MASSIMO & C.,"Via Masotto, 1",20133,Milano,Milano (MI),Lombardia,F/2798,07117510961
DEL CARMINE,"Via Mercato, 1",20121,Milano,Milano (MI),Lombardia,F/2835,04394790879
BIGNAMI,"Via Della Liberta', 71",20092,Cinisello balsamo,Milano (MI),Lombardia,F/3429,04497640153
PICCHIOTTI,"Viale Affori, 10",20161,Milano,Milano (MI),Lombardia,F/2652,00427210158
CASTELMORRONE - DR. ROTTEGLIA,"Via Castelmorrone, 6",20129,Milano,Milano (MI),Lombardia,F/2690,04226820159
FARINI SAS DR.SSA TRAVIERSO ANTONIETTA & C.,"Via Arnaldo da Brescia, 1",20159,Milano,Milano (MI),Lombardia,F/2948,05488940965
FORMAGGIA SNC DR. TRAVIERSO NICOLA & C.,"Corso Buenos Aires, 4",20124,Milano,Milano (MI),Lombardia,F/2954,05525360961
SPONZA DI SPONZA CARLO ALFIERI & C. SNC,"Via Garibaldi, 66",20010,Cornaredo,Milano (MI),Lombardia,F/3158,10742940157
ITALIA SNC,"Corso Indipendenza, 14",20129,Milano,Milano (MI),Lombardia,F/2908,10843300152
MAIOCCHI,"Via delle Azalee, 5",20025,Legnano,Milano (MI),Lombardia,F/3163,10959840157
CARLETTI SAS,"Via Mac Mahon, 111",20155,Milano,Milano (MI),Lombardia,F/2915,11017700151
INTERNAZIONALE BOLIVAR,"Piazza Bolivar, 11",20146,Milano,Milano (MI),Lombardia,F/2904,11022640152
ARCHINTO,"Piazzale Archinto, 1",20159,Milano,Milano (MI),Lombardia,F/2916,11174900156
COMASINA SAS,"Piazza Gasparri, 9",20161,Milano,Milano (MI),Lombardia,F/2919,06579460962
Omero,"Via Nicolò Barabino, 3",20139,Milano,Milano (MI),Lombardia,F/2941,11963310153
TURRO,"Via Padova, 109",20127,Milano,Milano (MI),Lombardia,F/2942,11963650152
VIGHIGNOLO SNC,"Via Mereghetti, 9",20019,Settimo milanese,Milano (MI),Lombardia,F/3194,12655900152
S. MARIA NASCENTE SNC,"Via Pergine, 2",20148,Milano,Milano (MI),Lombardia,F/2984,12827200150
SMERALDO SNC,"Viale Monte Grappa, 7",20124,Milano,Milano (MI),Lombardia,F/2978,13057020151
S. MARTINO,"Via S. Michele, 17",20020,Magnago,Milano (MI),Lombardia,F/3142,02187080128
BOVIO SNC DEL DR. BOVIO LUIGI & C.,"Via Roma, 106",20010,Marcallo con casone,Milano (MI),Lombardia,F/3061,05186060967
MELCHIONDA Sas,"Viale Longarone, 3",20080,Zibido san giacomo,Milano (MI),Lombardia,F/3235,05283800968
CASARSA SNC DR.SSA STAFUZZA LUCIANA,"Via Casarsa, 13",20161,Milano,Milano (MI),Lombardia,F/2808,05322110965
S. TERESA SAS,"Via Reali, 41",20037,Paderno dugnano,Milano (MI),Lombardia,F/3115,05361190969
LORENTEGGIO SNC,"Via Lorenteggio, 208",20147,Milano,Milano (MI),Lombardia,F/2820,13457600156
PRATI SAS,"Piazza F.lli Cervi, 8",20094,Corsico,Milano (MI),Lombardia,F/3109,07499340961
VITRUVIO SNC,"Via Vitruvio, 39",20124,Milano,Milano (MI),Lombardia,F/2961,07514450969
CALATAFIMI SAS DR. ZANETTI ANDREA & C.,"Piazzale di Porta Lodovica, 2",20136,Milano,Milano (MI),Lombardia,F/2605,05707780960
ANTICA FARMACIA DI BRERA SAS DEL DR. STEFANO DANIESI & C.,"Via Fiori Oscuri, 13",20121,Milano,Milano (MI),Lombardia,F/2981,05824090962
VERRI,"Via Dante Alighieri, 9",20070,San zenone al lambro,Milano (MI),Lombardia,F/3311,01811740180
PRIMATICCIO 96,"Via Primaticcio, 96",20147,Milano,Milano (MI),Lombardia,F/2881,06327200967
MARZAGALLI SNC,"Piazza Della Vittoria, 17",20014,Nerviano,Milano (MI),Lombardia,F/3034,06377750960
WASHINGTON SNC,"Via Etna, 2",20146,Milano,Milano (MI),Lombardia,F/2893,06393130965
RINASCITA dott.ssa R. Martinoli,"Viale Lombardia, 40",20089,Rozzano,Milano (MI),Lombardia,F/3328,08380290968
FARRIS SAS,"Via Madonna, 64",20017,Rho,Milano (MI),Lombardia,F/3116,06780330962
COMUNALE N. 2,"Via Mantova, 26",20066,Melzo,Milano (MI),Lombardia,F/18881,07275390966
COMUNALE,"Piazza Vittuone Cisliano, 2",20010,Vittuone,Milano (MI),Lombardia,F/18619,07412230968
ROCCHI,"Via Alamanni, 2",20141,Milano,Milano (MI),Lombardia,F/2655,07646670963
REMBRANDT,"Via Rembrandt, 49",20148,Milano,Milano (MI),Lombardia,F/2822,07666090159
ANTICA FARMACIA DELL'ABBAZIA DI CHIARAVALLE SNC,"Via Comacchio, 4",20139,Milano,Milano (MI),Lombardia,F/2596,07712200968
LODI SNC,"Corso Lodi, 5",20135,Milano,Milano (MI),Lombardia,F/2860,07765250969
TESSERA,"Via F.lli Rossellini, 1",20090,Cesano boscone,Milano (MI),Lombardia,F/3068,08196670965
S. GIORGIO,"Via Torino, 48",20123,Milano,Milano (MI),Lombardia,F/2921,11395060152
CASTELLANI DI CASTELLANI DR. MARINA,"Via Milano, 59",20060,Masate,Milano (MI),Lombardia,F/3466,08627090965
SCANSETTI,"Viale Rimembranze, 18",20020,Lainate,Milano (MI),Lombardia,F/3129,08689330150
DEZZA,"Via Dezza, 15",26900,Melegnano,Milano (MI),Lombardia,F/3225,08726980967
RINALDI,"Via Risorgimento, 41/A",20090,Pantigliate,Milano (MI),Lombardia,F/3264,08734220158
SELINUNTE SAS,"Piazza Selinunte, 4",20148,Milano,Milano (MI),Lombardia,F/2987,08794770969
DELLA RIPA,"Ripa Ticinese, 33",20143,Milano,Milano (MI),Lombardia,F/2825,02061270167
